id_gasto,periodo,anio,mes,fuente_archivo,hoja_origen,fecha_carga,fecha_creacion,fecha_gasto,numero_recibo,tipo_gasto_original,sede_original,sede_homologada,proveedor,factura_no,forma_pago_original,medio_pago_homologado,concepto_gasto_original,concepto_homologado,subtotal,impuestos,total,responsable,sale_de_caja,caja,categoria_principal,subcategoria,es_conjunto,deducible_dian,estado_registro,alerta_calidad,observacion_revision
GAS-202511-000001,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-04 19:02:59.746,2025-11-27 19:00:08.442,631.0,Materia Prima,CONJUNTA,CONJUNTA,KOLBITOS SAS,4FE 19823,EFECTIVO,EFECTIVO,HIELO,HIELO,9000.0,0,9000.0,Cajero,No,,Operación del punto,Varios,SI,POR_VALIDAR,OK,,
GAS-202511-000002,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-15 17:49:35.632,2025-11-02 16:25:43.502,632.0,Otros,CONJUNTA,CONJUNTA,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,PO 170458,DE CONTADO,CONTADO,10 UNIDADES SERVILLETAS X 300 VALOR 7.800 MAS 2 UND DE CUCHARA PEQUEÑA X 100 VALOR 6.400 MAS 1 VELA VOLCAN  A 3000,10 UNIDADES SERVILLETAS X 300 VALOR 7.800 MAS 2 UND DE CUCHARA PEQUEÑA X 100 VALOR 6.400 MAS 1 VELA VOLCAN  A 3000,17200.0,0,17200.0,,No,,Operación del punto,Desechables y empaques,SI,POR_VALIDAR,OK,,
GAS-202511-000003,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-15 17:58:51.183,2025-11-09 17:50:44.267,633.0,Otros,CONJUNTA,CONJUNTA,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,PO 175816,DE CONTADO,CONTADO,1 UND ALIÑOS BADIA PIMIENTA RIJA  X VALOR 31.900,1 UND ALIÑOS BADIA PIMIENTA RIJA  X VALOR 31.900,31900.0,0,31900.0,,Si,Jardin plaza,Operación del punto,Varios,SI,POR_VALIDAR,OK,,
GAS-202511-000004,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-15 20:50:14.111,2025-11-18 20:49:17.804,636.0,Administrativos,CONJUNTA,CONJUNTA,,FACTURAS1811,,POR_VALIDAR,PAGO SUBIDA DE FACTURAS ISABELLA,PAGO SUBIDA DE FACTURAS ISABELLA,60000.0,0,60000.0,,No,,Ocupación y servicios,Arriendo y administración,SI,POR_VALIDAR,POR VALIDAR,PAGO_POR_VALIDAR | PROVEEDOR_FALTANTE,
GAS-202511-000005,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2026-03-12 00:00:00.000,2025-11-18 20:49:17.804,,Marketing,CONJUNTA,CONJUNTA,SANTIAGO ORTEGA,,TRANSFERENCIA,TRANSFERENCIA,FOTOS MENÚ DE MARANELLO,FOTOS MENÚ DE MARANELLO,900000.0,0,900000.0,,No,,Administración y ventas,Marketing y promociones,SI,POR_VALIDAR,OK,,
GAS-202511-000006,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-15 20:52:22.109,2025-11-20 20:51:18.751,638.0,Administrativos,PARQUE DEL PERRO,PP,EMCALI E.I.C.E. E.S.P.,,,POR_VALIDAR,PAGO SERVICIOS NOVIEMBRE,PAGO SERVICIOS NOVIEMBRE,1278598.0,0,1278598.0,,No,,Ocupación y servicios,Servicios públicos,NO,POR_VALIDAR,POR VALIDAR,PAGO_POR_VALIDAR,
GAS-202511-000007,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-15 20:53:13.106,2025-11-20 20:52:24.982,639.0,Administrativos,PARQUE DEL PERRO,PP,GASES DE OCCIDENTE,,,POR_VALIDAR,PAGO GAS NOVIEMBRE,PAGO GAS NOVIEMBRE,583152.0,0,583152.0,,No,,Ocupación y servicios,Servicios públicos,NO,POR_VALIDAR,POR VALIDAR,PAGO_POR_VALIDAR,
GAS-202511-000008,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-15 20:53:57.855,2025-11-24 20:53:24.200,640.0,Administrativos,CONJUNTA,CONJUNTA,TECO.LAB,,,POR_VALIDAR,PAGO REDES SOCIALES NOVIEMBRE,PAGO REDES SOCIALES NOVIEMBRE,1000000.0,0,1000000.0,,No,,Administración y ventas,Marketing y promociones,SI,POR_VALIDAR,POR VALIDAR,PAGO_POR_VALIDAR,
GAS-202511-000009,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-15 20:56:12.113,2025-11-12 20:55:07.039,642.0,Administrativos,JARDIN PLAZA,JP,GASES DE OCCIDENTE,,,POR_VALIDAR,PAGO SERVICIOS DICIEMBRE,PAGO SERVICIOS DICIEMBRE,1361900.0,0,1361900.0,,No,,Ocupación y servicios,Servicios públicos,NO,POR_VALIDAR,POR VALIDAR,PAGO_POR_VALIDAR,
GAS-202511-000010,2025-11,2025,11,2025_11_Noviembre.xlsx,gastos,2026-04-20,2025-12-16 14:05:43.201,2025-11-29 14:05:13.652,650.0,Otros,CONJUNTA,CONJUNTA,D1 SAS,G8G69993,,POR_VALIDAR,ESPONJAS,ESPONJAS,4700.0,0,4700.0,,No,,Operación del punto,Varios,SI,POR_VALIDAR,POR VALIDAR,PAGO_POR_VALIDAR,
