id_movimiento,periodo,anio,mes,fuente_archivo,hoja_origen,fecha_carga,fecha_creacion,fecha_movimiento,tipo_movimiento_original,naturaleza_movimiento,categoria_movimiento,descripcion_movimiento,proveedor,documento_soporte,factura_no,cantidad,valor_unitario,valor_total,estado_registro,alerta_calidad,observacion_revision
INV-202511-000001,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 23:04:04.128,2025-11-30 23:02:22.141,Entrada - Compra,ENTRADA,COMPRA,,CENCOSUD COLOMBIA SA,,AH231076949,0,0,66240.0,OK,,
INV-202511-000002,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-06 21:50:44.189,2025-11-30 21:49:54.484,Entrada - Compra,ENTRADA,COMPRA,,GALERIA SANTA HELENA,,3011,0,0,2000.0,OK,,
INV-202511-000003,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-05 18:14:05.735,2025-11-30 18:11:39.428,Entrada - Compra,ENTRADA,COMPRA,,D1 SAS,,G3I4253629,0,0,10500.0,OK,,
INV-202511-000004,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 14:43:16.118,2025-11-30 14:40:22.730,Entrada - Compra,ENTRADA,COMPRA,,PANADERÍA FRANCESPAN,,PF,0,0,49000.32000000001,OK,,
INV-202511-000005,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 22:35:24.129,2025-11-29 22:33:58.921,Entrada - Compra,ENTRADA,COMPRA,,MAKRO SUPERMAYORISTA SAS,,03FT129181869,0,0,133980.0,OK,,
INV-202511-000006,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 22:26:55.328,2025-11-29 22:25:24.073,Entrada - Compra,ENTRADA,COMPRA,,PANADERÍA FRANCESPAN,,PF2911,0,0,33000.0,OK,,
INV-202511-000007,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 22:16:04.206,2025-11-29 22:15:09.931,Entrada - Compra,ENTRADA,COMPRA,,PESQUERA VALLEMAR SAS,,FEVA32905,0,0,262000.0,OK,,
INV-202511-000008,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-06 21:45:01.022,2025-11-29 21:43:59.772,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,SA86122095,0,0,89700.0,OK,,
INV-202511-000009,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2026-02-04 20:11:15.703,2025-11-29 20:08:52.387,Salida - Merma,SALIDA,MERMA,,,,,0,0,0.0,OK,,
INV-202511-000010,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-04 18:49:50.281,2025-11-29 18:43:54.748,Entrada - Compra,ENTRADA,COMPRA,,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,,PO180687,0,0,112200.0,OK,,
INV-202511-000011,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-05 18:24:29.620,2025-11-29 18:23:29.702,Entrada - Compra,ENTRADA,COMPRA,,KOLBITOS SAS,,3FE 29560,0,0,5000.0,OK,,
INV-202511-000012,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2026-02-04 18:22:35.877,2025-11-29 18:21:00.415,Salida - Merma,SALIDA,MERMA,,,,,0,0,0.0,OK,,
INV-202511-000013,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-05 18:15:30.151,2025-11-29 18:14:13.890,Entrada - Compra,ENTRADA,COMPRA,,MERCAMIO SA,,4T366559,0,0,56529.0,OK,,
INV-202511-000014,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 14:45:13.039,2025-11-29 14:43:39.365,Entrada - Compra,ENTRADA,COMPRA,,MERCAMIO SA,,4V46444,0,0,124200.0,OK,,
INV-202511-000015,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-10 14:16:41.141,2025-11-29 14:15:57.001,Entrada - Compra,ENTRADA,COMPRA,,MERCAMIO SA,,4T36559,0,0,56529.0,OK,,
INV-202511-000016,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-16 14:04:53.639,2025-11-29 14:03:21.865,Entrada - Compra,ENTRADA,COMPRA,,D1 SAS,,G8G69993,0,0,66770.0,OK,,
INV-202511-000017,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-10 14:04:10.959,2025-11-29 14:02:29.661,Entrada - Compra,ENTRADA,COMPRA,,JEPRI DISTRIBUIDPRA DE ALIMENTOS EN LINEA SAS,,FELE 3739,0,0,26314.0,OK,,
INV-202511-000018,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-10 14:01:40.736,2025-11-29 13:52:58.995,Entrada - Compra,ENTRADA,COMPRA,,JEPRI DISTRIBUIDPRA DE ALIMENTOS EN LINEA SAS,,FELE 3740,0,0,68291.0,OK,,
INV-202511-000019,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-13 13:42:02.621,2025-11-29 13:37:44.973,Entrada - Compra,ENTRADA,COMPRA,,INDUSTRIA NACIONAL DE GASEOSAS SA,,FVCL 2272890,0,0,324600.0,OK,,
INV-202511-000020,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2026-02-04 20:08:37.926,2025-11-28 19:58:38.171,Salida - Merma,SALIDA,MERMA,,,,,0,0,0.0,OK,,
INV-202511-000021,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:09:34.364,2025-11-28 15:04:09.459,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID821058549,0,0,6247.0,OK,,
INV-202511-000022,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:00:22.868,2025-11-28 14:59:18.255,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID821058554,0,0,8498.0,OK,,
INV-202511-000023,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 14:54:55.159,2025-11-28 14:53:55.105,Entrada - Compra,ENTRADA,COMPRA,,MERCAMIO SA,,CSFE124122,0,0,27650.0,OK,,
INV-202511-000024,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-18 13:42:20.897,2025-11-28 13:38:13.436,Entrada - Compra,ENTRADA,COMPRA,,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,,PO180609,0,0,343500.0,OK,,
INV-202511-000025,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 22:55:50.492,2025-11-27 22:51:51.851,Entrada - Compra,ENTRADA,COMPRA,,INDUSTRIA NACIONAL DE GASEOSAS SA,,,0,0,222900.0,OK,,
INV-202511-000026,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 22:17:22.594,2025-11-27 22:16:36.241,Entrada - Compra,ENTRADA,COMPRA,,MERCAFAMILIAR LAS PALMAS SAS,,WA105633,0,0,79000.0,OK,,
INV-202511-000027,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 21:47:50.209,2025-11-27 21:45:45.959,Entrada - Compra,ENTRADA,COMPRA,,PESQUERA VALLEMAR SAS,,PELV14872,0,0,128000.0,OK,,
INV-202511-000028,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:17:23.175,2025-11-27 15:16:38.799,Entrada - Compra,ENTRADA,COMPRA,,KOLBITOS SAS,,3FE 29510,0,0,5000.0,OK,,
INV-202511-000029,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-10 13:48:27.688,2025-11-27 13:48:01.617,Entrada - Compra,ENTRADA,COMPRA,,KOLBITOS SAS,,4FE19823,0,0,9000.0,OK,,
INV-202511-000030,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-08 22:00:48.132,2025-11-26 21:58:00.268,Entrada - Compra,ENTRADA,COMPRA,,MAKRO SUPERMAYORISTA SAS,,03FT 116688062,0,0,147545.0,OK,,
INV-202511-000031,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-16 21:24:43.126,2025-11-26 21:22:33.040,Entrada - Compra,ENTRADA,COMPRA,,PANADERÍA FRANCESPAN,,PF2611,0,0,65000.0,OK,,
INV-202511-000032,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-12-16 21:18:11.138,2025-11-26 21:16:27.703,Entrada - Compra,ENTRADA,COMPRA,,QUESERA Y SALSAMENTARIA SAN FERNANDO SAS,,PO179662,0,0,255000.0,OK,,
INV-202511-000033,2025-11,2025,11,2025_11_Noviembre.xlsx,inventario,2026-04-20,2025-11-30 15:53:20.371,2025-11-26 15:52:12.423,Entrada - Compra,ENTRADA,COMPRA,,ALMACENES ÉXITO SA,,ID851167112,0,0,4708.0,OK,,
