id_merma,periodo,anio,mes,fuente_archivo,hoja_origen,fecha_carga,fecha_creacion,negocio,ingrediente_producto,cantidad,precio_unitario,total_merma,clasificacion_merma,subclasificacion_merma,nota,estado_registro,alerta_calidad,observacion_revision
MER-202511-000001,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-29 18:21:00.415,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,PIERNA DE CERDO,565.0,17.44935782025685,9858.887168445122,POR_VALIDAR,POR_VALIDAR,Se vinagró,OK,,
MER-202511-000002,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-29 18:21:00.415,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,SALSA MAMMA ROSSA,4195.0,0.0,0.0,POR_VALIDAR,POR_VALIDAR,se vinagró,POR VALIDAR,SIN_VALOR,
MER-202511-000003,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-29 20:08:52.387,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,PIERNA DE CERDO,565.0,17.44935782025685,9858.887168445122,POR_VALIDAR,POR_VALIDAR,se vinagró,OK,,
MER-202511-000004,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-28 19:58:38.171,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,SALSA MAMMA ROSSA,32.0,2666.85,85339.2,POR_VALIDAR,POR_VALIDAR,Se vinagró,OK,,
MER-202511-000005,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-28 19:58:38.171,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,ESPAGHETTI.,102.5,8.228979118329468,843.4703596287704,POR_VALIDAR,POR_VALIDAR,se vinagró,OK,,
MER-202511-000006,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-29 20:08:52.387,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,PEPINO DE RES MOLIDO,565.0,24.47141035666339,13826.34685151481,POR_VALIDAR,POR_VALIDAR,se vinagró,OK,,
MER-202511-000007,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-29 18:21:00.415,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,PEPINO DE RES MOLIDO,512.0,24.47141035666339,12529.36210261165,POR_VALIDAR,POR_VALIDAR,se dañó la carne,OK,,
MER-202511-000008,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-29 20:08:52.387,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,SALSA MAMMA ROSSA,22.0,2666.85,58670.7,POR_VALIDAR,POR_VALIDAR,,OK,,
MER-202511-000009,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-28 19:58:38.171,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,PIERNA DE CERDO,304.0,17.44935782025685,5304.604777358083,POR_VALIDAR,POR_VALIDAR,se vinagró,OK,,
MER-202511-000010,2025-11,2025,11,2025_11_Noviembre.xlsx,mermas,2026-04-20,2025-11-28 19:58:38.171,BARAJAS Y ASOCIADOS S.A.S.  - MARANELLO PASTA,TOFU,4.05,26.56,107.568,POR_VALIDAR,POR_VALIDAR,se quemó en nevera,OK,,
