id_venta,periodo,anio,mes,fuente_archivo,hoja_origen,fecha_carga,fecha_creacion,factura_no,mesa,comensales,facturador,sede_homologada,vendedor,cliente,documento,telefono,forma_pago_original,fecha_pago,medio_pago,valor_pago,valor_venta,valor_descuentos,valor_neto,propina,domicilio,total_factura,base_inc_8,imp_inc_8,base_iva_19,imp_iva_19,base_otros,imp_otros,tipo_impuesto_detectado,estado_tributario,filas_asociadas,filas_detalle_impuesto,estado_registro,alerta_calidad,observacion_revision
VEN-202511-000001,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 12:14:24.869,POS5339,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta crédito,2025-11-01 12:14:25.761,Tarjeta crédito,30900,29937.03703703703,0.0,29937.03703703703,0,0,30900,12037.03703703704,962.9629629629628,0.0,0.0,0.0,0.0,SOLO_INC,OK,1,0,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000002,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 13:45:05.117,POS5340,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta Débito,2025-11-01 13:45:06.074,Tarjeta Débito,25400,25066.66666666666,0.0,25066.66666666666,0,0,25400,4166.666666666666,333.3333333333333,0.0,0.0,0.0,0.0,SOLO_INC,OK,1,0,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000003,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 14:06:15.484,POS5341,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta Débito,2025-11-01 14:06:16.509,Tarjeta Débito,83800,79770.43261749143,0.0,79770.43261749143,0,0,83800,32407.40740740741,2592.592592592592,7563.025210084034,1436.974789915966,0.0,0.0,MIXTO,OK,2,1,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000004,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 14:11:53.663,POS5342,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta crédito,2025-11-01 14:11:54.645,Tarjeta crédito,31700,30107.28291316527,0.0,30107.28291316527,0,0,31700,8333.333333333332,666.6666666666666,4873.949579831933,926.0504201680673,0.0,0.0,MIXTO,OK,2,1,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000005,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 14:26:53.702,POS5343,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta Débito,2025-11-01 14:26:54.689,Tarjeta Débito,28600,28029.62962962963,0.0,28029.62962962963,0,0,28600,7129.62962962963,570.3703703703703,0.0,0.0,0.0,0.0,SOLO_INC,OK,1,0,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000006,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 15:01:45.861,POS5344,Mesa 2,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta Débito,2025-11-01 15:01:46.930,Tarjeta Débito,100200,95029.62962962962,0.0,95029.62962962962,0,0,100200,17129.62962962963,1370.37037037037,20000.0,3800.0,0.0,0.0,MIXTO,OK,2,1,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000007,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 15:02:17.988,POS5345,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Efectivo,2025-11-01 15:02:18.998,Efectivo,7300,6134.453781512605,0.0,6134.453781512605,0,0,7300,0.0,0.0,6134.453781512605,1165.546218487395,0.0,0.0,SOLO_IVA,OK,1,0,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000008,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 15:08:01.525,POS5346,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta Débito,2025-11-01 15:08:02.589,Tarjeta Débito,74400,70696.04730781201,0.0,70696.04730781201,0,0,74400,23148.14814814815,1851.851851851852,9747.899159663866,1852.100840336135,0.0,0.0,MIXTO,OK,2,1,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000009,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 15:34:04.392,POS5347,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta Débito,2025-11-01 15:34:05.457,Tarjeta Débito,57300,56670.37037037037,0.0,56670.37037037037,0,0,57300,7870.37037037037,629.6296296296296,0.0,0.0,0.0,0.0,SOLO_INC,OK,1,0,POR VALIDAR,SEDE_POR_VALIDAR,
VEN-202511-000010,2025-11,2025,11,2025_11_Noviembre.xlsx,Ventas,2026-04-20,2025-11-01 15:45:55.208,POS5348,Mesa 1,1,Camilo,POR VALIDAR,Camilo,Consumidor Final,222222222222.0,0.0,Tarjeta Débito,2025-11-01 15:45:56.293,Tarjeta Débito,74400,70696.04730781201,0.0,70696.04730781201,0,0,74400,23148.14814814815,1851.851851851852,9747.899159663866,1852.100840336135,0.0,0.0,MIXTO,OK,2,1,POR VALIDAR,SEDE_POR_VALIDAR,
